city_nm,coordinates,avg_sum_per_user,city_population ,spent_per_capita,avg_sum_per_order
Волгоград,"48.707070, 44.516952",635.5124327628362,2470057,0.2104603942338172,601.9520017793594
Воронеж,"51.660782, 39.200286",641.1809419014085,2285282,0.318727207408101,561.272
Екатеринбург,"56.838011, 60.597474",682.1349353741497,4239161,0.4730834025883895,570.7101228448277
Казань,"55.796125, 49.106400",649.1658144927536,4001625,0.2798390728766439,565.8315998442974
Краснодар,"45.035470, 38.975313",655.7942840778924,5819345,0.1967604292235638,559.9648251192369
Красноярск,"56.010552, 92.852531",654.2838974358974,2845545,0.3138581607389797,523.2752001953126
Москва,"55.755829, 37.617627",889.3782465812659,21696177,0.7584002905212287,606.1017649614424
Нижний Новгород,"56.326793, 44.006437",684.5462783568363,3081817,0.3622846457138759,557.3554593929451
Новосибирск,"55.030280, 82.920383",693.8547610681658,2794266,0.7067010263160343,534.9033756289653
Омск,"54.989362, 73.368037",655.3307156673113,1832000,0.3698755240174672,581.1139915671117
Пермь,"58.010400, 56.229486",689.0615372297838,2508352,0.343108885834205,576.9289228110599
Ростов-на-Дону,"47.222104,  39.720179",635.3416587997303,4153800,0.2268312581250902,594.023552141527
Самара,"53.195878, 50.100202",699.4629584065613,3142683,0.3799248190161082,575.862366104182
Санкт-Петербург,"59.938670, 30.314350",793.0794115958668,7600000,1.0906928960526316,589.5080991780229
Уфа,"54.735148, 55.958596",616.1829459901801,4077600,0.1846614577202276,508.7866256295467
Челябинск,"55.159902, 61.402554",615.6434390771449,3407145,0.2506196390232878,520.597802734375
